"id","household","kids","vehicles","priceExpected","incomeExpected","businessExpected","financialStability","investments","income","age","employmentSector","region","hoursPerWeek"
50751384.143599,4,3,2,0,1,"Better Off","Worse Off","Mutual funds",38,40,"Other","Midwest",37
50805275.7713915,4,3,2,1,2,"Better Off","Worse Off","Mutual funds",63,40,"Professional and business services","Northeast",35
50726459.1456562,3,2,1,-3,2,"Better Off","Better Off","Savings account",50,53,"Construction","South",43
50886815.35095,4,2,2,5,1,"Worse Off","Better Off","Stocks",37,48,"Public administration","West",43
50770434.8324944,3,2,1,2,0,"Worse Off","Worse Off","Retirement account",39,32,"Other","Midwest",39
50757001.2990107,4,2,2,0,1,"Better Off","Better Off","Bonds",35,32,"Wholesale and retail trade","Northeast",43
50727177.114451,4,3,1,0,2,"Worse Off","Better Off","Mutual funds",27,42,"Financial services","South",43
50881344.6274156,3,2,2,-1,1,"Better Off","Worse Off","Stocks",45,22,"Transportation and utilities","West",40
50816380.4348196,3,2,1,5,1,"Worse Off","Worse Off","Stocks",38,47,"Other","Midwest",35
50895761.0082202,7,6,1,0,0,"Worse Off","Better Off","Savings account",52,38,"Professional and business services","Northeast",38
50649920.9913047,4,3,1,2,2,"Worse Off","Worse Off","Savings account",59,26,"Transportation and utilities","South",35
51004831.8160949,4,2,3,-2,2,"Worse Off","Better Off","Savings account",105,NA,"Manufacturing","West",32
50852694.1191345,4,3,1,2,1,"Worse Off","Better Off","Bonds",29,44,"Health services","Midwest",32
51023459.1245429,3,2,2,0,0,"Worse Off","Worse Off","Mutual funds",47,23,"Leisure and hospitality","Northeast",34
50982158.5362874,6,4,2,4,1,"Worse Off","Worse Off","Retirement account",25,43,"Wholesale and retail trade","South",33
50892688.6496199,4,3,1,0,1,"Better Off","Better Off","Retirement account",44,53,"Transportation and utilities","West",42
50849703.8374492,4,1,2,0,1,"Worse Off","Better Off","Retirement account",52,35,"Wholesale and retail trade","Midwest",39
50880965.2531379,4,2,2,-1,2,"Worse Off","Better Off","Retirement account",49,39,"Public administration","Northeast",31
50843264.5209529,4,1,3,2,0,"Better Off","Worse Off","Stocks",55,38,"Health services","South",35
51002757.183778,5,3,2,0,2,"Worse Off","Worse Off","Mutual funds",44,NA,"Health services","West",42
50934784.3127745,3,1,2,-1,0,"Worse Off","Better Off","Retirement account",70,51,"Transportation and utilities","Midwest",42
50933607.381061,3,2,2,-1,1,"Worse Off","Better Off","Bonds",49,38,"Public administration","Northeast",38
50872086.1167282,3,1,2,2,2,"Better Off","Worse Off","Mutual funds",31,43,"Leisure and hospitality","South",36
50958839.3531838,6,4,2,-2,2,"Worse Off","Worse Off","Retirement account",28,33,"Transportation and utilities","West",31
50791290.5158607,5,2,3,3,2,"Worse Off","Worse Off","Mutual funds",27,44,"Education","Midwest",29
50961888.7281873,5,4,1,1,0,"Worse Off","Worse Off","Savings account",31,50,"Health services","Northeast",42
50728092.2066996,3,1,2,1,-1,"Better Off","Worse Off","Mutual funds",32,NA,"Professional and business services","South",49
50895748.3331663,4,3,1,3,1,"Better Off","Worse Off","Mutual funds",34,53,"Health services","West",30
50732580.8988526,3,2,1,-3,2,"Better Off","Better Off","Retirement account",47,30,"Leisure and hospitality","Midwest",43
50778087.8231217,4,2,2,2,1,"Worse Off","Better Off","Mutual funds",58,39,"Professional and business services","Northeast",28
50718647.2498135,3,2,1,4,1,"Better Off","Worse Off","Mutual funds",34,44,"Leisure and hospitality","South",40
50853214.1118242,4,2,2,2,2,"Worse Off","Worse Off","Savings account",69,43,"Other","West",33
50875378.7888535,3,2,2,4,2,"Worse Off","Better Off","Savings account",81,32,"Manufacturing","Midwest",63
50884167.9682487,4,1,3,-2,0,"Better Off","Better Off","Retirement account",55,28,"Other","Northeast",33
50751527.9181941,4,2,2,1,0,"Worse Off","Better Off","Savings account",33,26,"Transportation and utilities","South",38
50925310.5142388,4,1,3,4,2,"Worse Off","Better Off","Bonds",55,26,"Leisure and hospitality","West",63
50929901.1181414,5,3,2,2,0,"Worse Off","Worse Off","Bonds",57,27,"Professional and business services","Midwest",44
50827186.2444607,3,1,2,3,1,"Worse Off","Better Off","Mutual funds",37,40,"Financial services","Northeast",47
50919250.2471297,4,2,2,-2,1,"Worse Off","Worse Off","Savings account",34,44,"Public administration","South",46
50909701.4072067,3,1,2,6,0,"Worse Off","Worse Off","Mutual funds",37,23,"Other","West",36
50689575.1526814,4,2,2,1,0,"Worse Off","Better Off","Savings account",38,35,"Wholesale and retail trade","Midwest",47
50768249.4604245,5,3,2,0,2,"Worse Off","Better Off","Stocks",41,24,"Education","Northeast",35
50781092.5930683,3,2,1,-1,0,"Better Off","Worse Off","Savings account",51,23,"Financial services","South",36
50674290.7031651,4,2,2,0,2,"Better Off","Better Off","Stocks",54,NA,"Construction","West",44
50879144.8951135,4,2,2,-3,1,"Better Off","Better Off","Mutual funds",39,NA,"Wholesale and retail trade","Midwest",38
50658871.0202364,3,1,2,5,0,"Worse Off","Worse Off","Mutual funds",52,41,"Wholesale and retail trade","Northeast",31
50851602.4742648,4,3,1,1,0,"Worse Off","Worse Off","Stocks",52,37,"Professional and business services","South",38
50890234.7519779,4,3,1,3,1,"Worse Off","Worse Off","Savings account",44,36,"Health services","West",43
50780840.4547534,5,4,1,1,2,"Better Off","Better Off","Savings account",47,35,"Manufacturing","Midwest",38
50867518.9369276,3,1,2,-1,2,"Worse Off","Better Off","Bonds",40,24,"Wholesale and retail trade","Northeast",36
50773195.3180418,4,1,2,0,0,"Worse Off","Worse Off","Savings account",46,48,"Transportation and utilities","South",31
50741605.6891036,3,2,2,2,2,"Worse Off","Worse Off","Savings account",30,45,"Financial services","West",38
50811777.6155639,3,2,1,2,1,"Worse Off","Better Off","Mutual funds",30,27,"Construction","Midwest",32
50793434.8050264,4,3,2,-1,1,"Worse Off","Better Off","Savings account",28,34,"Professional and business services","Northeast",32
51086146.6541119,3,1,2,2,0,"Worse Off","Worse Off","Bonds",41,33,"Construction","South",41
50851857.2676289,3,2,1,4,1,"Better Off","Worse Off","Bonds",59,NA,"Transportation and utilities","West",44
50822565.5774659,5,3,2,0,0,"Worse Off","Worse Off","Bonds",42,54,"Professional and business services","Midwest",31
50745904.7207126,3,2,1,3,2,"Worse Off","Better Off","Retirement account",25,NA,"Leisure and hospitality","Northeast",37
50746932.6756559,4,2,2,2,2,"Worse Off","Worse Off","Bonds",30,NA,"Financial services","South",36
50862451.3294564,3,2,1,3,0,"Worse Off","Worse Off","Mutual funds",36,27,"Manufacturing","West",40
50843190.586882,3,2,1,6,2,"Worse Off","Worse Off","Retirement account",39,NA,"Leisure and hospitality","Midwest",37
50728368.9189945,3,1,2,1,2,"Worse Off","Worse Off","Savings account",37,30,"Other","Northeast",29
50876703.2913761,2,1,2,0,1,"Better Off","Worse Off","Bonds",55,39,"Professional and business services","South",40
50905508.5499082,2,1,1,2,2,"Worse Off","Worse Off","Savings account",42,38,"Leisure and hospitality","West",44
50858779.0190064,6,3,3,1,0,"Better Off","Worse Off","Savings account",62,38,"Professional and business services","Midwest",40
50873921.2303447,4,2,2,0,0,"Better Off","Better Off","Savings account",35,25,"Leisure and hospitality","Northeast",39
50860291.5122169,5,4,1,1,2,"Worse Off","Worse Off","Stocks",38,42,"Leisure and hospitality","South",39
50804552.9763843,5,2,2,6,2,"Worse Off","Worse Off","Savings account",23,52,"Wholesale and retail trade","West",36
50885774.6358163,4,2,2,3,1,"Worse Off","Worse Off","Mutual funds",63,51,"Other","Midwest",34
50844636.6276397,3,2,1,-2,2,"Better Off","Worse Off","Savings account",53,38,"Other","Northeast",33
50669063.4055228,7,5,2,1,0,"Worse Off","Better Off","Bonds",29,43,"Financial services","South",34
50810085.5069857,3,2,1,2,0,"Worse Off","Worse Off","Stocks",42,35,"Transportation and utilities","West",47
50753921.2533305,3,1,2,0,1,"Worse Off","Worse Off","Bonds",42,30,"Leisure and hospitality","Midwest",56
50950874.985646,2,1,2,-2,1,"Better Off","Worse Off","Bonds",58,NA,"Health services","Northeast",35
50759258.9474374,3,2,2,4,2,"Worse Off","Better Off","Savings account",60,45,"Other","South",34
50830200.106417,4,3,1,3,1,"Worse Off","Worse Off","Mutual funds",37,NA,"Wholesale and retail trade","West",34
50878829.5869092,4,3,1,2,1,"Worse Off","Worse Off","Savings account",30,24,"Leisure and hospitality","Midwest",34
50976102.7289563,2,1,2,-2,0,"Better Off","Better Off","Bonds",70,28,"Wholesale and retail trade","Northeast",35
51006465.3680906,2,1,1,3,1,"Worse Off","Worse Off","Savings account",45,23,"Professional and business services","South",42
51005824.0296288,3,1,2,6,1,"Worse Off","Worse Off","Stocks",51,25,"Wholesale and retail trade","West",39
50877078.0908869,3,1,2,-2,1,"Worse Off","Better Off","Bonds",50,51,"Leisure and hospitality","Midwest",46
50855696.7550848,4,3,2,3,2,"Worse Off","Worse Off","Savings account",26,29,"Other","Northeast",31
50901559.5118525,2,1,1,-4,3,"Better Off","Better Off","Mutual funds",41,41,"Financial services","South",43
50958387.922577,3,2,1,6,1,"Worse Off","Worse Off","Savings account",46,31,"Leisure and hospitality","West",34
50773041.7781113,5,3,2,0,2,"Worse Off","Worse Off","Stocks",46,26,"Leisure and hospitality","Midwest",54
50797162.877663,3,1,2,-4,1,"Better Off","Worse Off","Retirement account",34,48,"Other","Northeast",43
50861403.2648813,3,2,1,0,1,"Worse Off","Worse Off","Retirement account",39,42,"Public administration","South",31
50817713.8087815,3,2,1,1,1,"Worse Off","Worse Off","Savings account",40,30,"Wholesale and retail trade","West",40
51075645.7568389,3,1,2,-1,1,"Worse Off","Better Off","Bonds",33,33,"Education","Midwest",32
50916151.651612,2,1,1,5,0,"Worse Off","Worse Off","Bonds",27,41,"Leisure and hospitality","Northeast",34
50851962.0943916,3,2,2,3,1,"Worse Off","Worse Off","Savings account",33,NA,"Financial services","South",49
50648244.9876428,4,3,1,1,0,"Worse Off","Worse Off","Stocks",51,44,"Transportation and utilities","West",29
50825954.5541794,4,2,2,1,2,"Worse Off","Worse Off","Bonds",55,37,"Leisure and hospitality","Midwest",37
51050640.943445,4,1,3,-3,1,"Better Off","Worse Off","Savings account",50,NA,"Health services","Northeast",34
50832610.3542958,6,4,2,1,2,"Worse Off","Better Off","Stocks",62,28,"Other","South",37
50975562.9832437,4,1,3,2,1,"Worse Off","Worse Off","Savings account",32,23,"Financial services","West",36
50708733.5961771,2,1,1,-2,1,"Better Off","Worse Off","Savings account",51,21,"Professional and business services","Midwest",48
50907372.9012212,6,5,1,-3,2,"Better Off","Worse Off","Retirement account",76,28,"Other","Northeast",42
50722803.2737333,3,2,2,1,3,"Worse Off","Better Off","Savings account",36,38,"Education","South",30
51025076.1496501,5,4,1,0,2,"Worse Off","Worse Off","Savings account",56,31,"Health services","West",32
50788375.5475399,3,1,2,4,0,"Worse Off","Worse Off","Retirement account",36,35,"Other","Midwest",36
50794296.524647,4,2,2,3,1,"Worse Off","Worse Off","Retirement account",48,50,"Other","Northeast",39
50860392.3870692,3,2,1,0,2,"Worse Off","Worse Off","Savings account",51,29,"Transportation and utilities","South",39
50677562.9828523,3,2,2,5,1,"Worse Off","Better Off","Bonds",56,23,"Leisure and hospitality","West",38
51010930.187127,5,3,2,3,0,"Worse Off","Worse Off","Mutual funds",58,31,"Other","Midwest",37
50821797.2748559,4,3,2,-2,3,"Better Off","Better Off","Stocks",54,26,"Leisure and hospitality","Northeast",37
50916709.1826561,6,3,3,3,2,"Worse Off","Worse Off","Savings account",38,36,"Leisure and hospitality","South",41
50800429.9032548,4,2,2,0,2,"Worse Off","Better Off","Mutual funds",53,38,"Health services","West",29
50944815.8622586,5,3,2,5,0,"Worse Off","Worse Off","Savings account",52,35,"Transportation and utilities","Midwest",43
50915571.2075938,4,3,2,3,3,"Worse Off","Worse Off","Retirement account",43,38,"Financial services","Northeast",40
50961175.2644994,4,2,2,3,1,"Worse Off","Worse Off","Savings account",40,26,"Leisure and hospitality","South",35
50756357.5065621,4,3,1,5,2,"Worse Off","Worse Off","Bonds",37,36,"Public administration","West",42
50793110.7537881,6,4,2,2,1,"Better Off","Worse Off","Savings account",33,27,"Public administration","Midwest",41
50885950.2559723,4,2,2,4,2,"Worse Off","Worse Off","Savings account",57,26,"Wholesale and retail trade","Northeast",40
50844425.0734755,6,3,3,4,1,"Worse Off","Worse Off","Stocks",51,22,"Manufacturing","South",30
50981050.6962501,3,2,2,2,2,"Worse Off","Worse Off","Retirement account",40,26,"Wholesale and retail trade","West",49
50844924.5982302,3,1,2,-1,0,"Better Off","Worse Off","Retirement account",25,41,"Financial services","Midwest",38
50856358.8616505,7,3,3,4,1,"Worse Off","Worse Off","Retirement account",52,29,"Wholesale and retail trade","Northeast",40
50905414.6140643,5,3,2,-1,1,"Worse Off","Worse Off","Savings account",49,20,"Health services","South",47
50786462.5622066,4,3,1,-2,2,"Better Off","Better Off","Bonds",53,49,"Health services","West",33
50901706.3815913,2,1,1,-3,2,"Worse Off","Better Off","Savings account",49,34,"Other","Midwest",39
50797450.6496982,5,4,2,0,0,"Worse Off","Worse Off","Savings account",38,40,"Wholesale and retail trade","Northeast",31
50954106.2768034,3,2,1,0,3,"Better Off","Worse Off","Bonds",29,27,"Leisure and hospitality","South",38
50727619.0814669,6,3,3,1,2,"Worse Off","Worse Off","Savings account",42,52,"Public administration","West",31
50844664.2843171,4,2,2,0,0,"Worse Off","Better Off","Stocks",31,35,"Professional and business services","Midwest",34
50918504.1933066,3,2,1,0,1,"Worse Off","Worse Off","Retirement account",64,NA,"Public administration","Northeast",52
50866516.5661358,3,1,2,5,2,"Worse Off","Worse Off","Savings account",67,41,"Other","South",38
50885744.5974334,3,2,2,-1,2,"Worse Off","Better Off","Retirement account",72,29,"Financial services","West",38
50872599.7610636,4,2,2,-1,1,"Better Off","Better Off","Bonds",55,31,"Public administration","Midwest",34
50651638.7538699,8,7,1,2,-1,"Worse Off","Worse Off","Stocks",46,NA,"Transportation and utilities","Northeast",32
50725624.4140671,4,3,2,5,2,"Worse Off","Worse Off","Bonds",58,42,"Wholesale and retail trade","South",43
50913998.3221736,2,1,1,3,0,"Worse Off","Worse Off","Mutual funds",49,44,"Wholesale and retail trade","West",45
50842542.4689494,6,4,2,-2,1,"Worse Off","Better Off","Stocks",46,37,"Leisure and hospitality","Midwest",43
50846449.4506323,2,1,1,0,-1,"Better Off","Worse Off","Mutual funds",28,34,"Professional and business services","Northeast",42
50838282.2349448,7,4,2,-1,1,"Worse Off","Better Off","Stocks",32,27,"Other","South",33
50893422.2683296,5,3,2,0,1,"Better Off","Better Off","Bonds",40,37,"Health services","West",40
50893816.7639072,4,2,2,-2,1,"Better Off","Worse Off","Bonds",43,NA,"Health services","Midwest",31
50831916.0855461,4,3,1,3,1,"Worse Off","Worse Off","Savings account",27,36,"Public administration","Northeast",40
50726698.097414,4,2,2,-3,0,"Better Off","Worse Off","Retirement account",38,44,"Education","South",38
50816698.3447057,2,1,1,5,0,"Better Off","Worse Off","Stocks",47,36,"Financial services","West",42
50949448.0589904,3,1,2,0,0,"Better Off","Better Off","Mutual funds",55,28,"Health services","Midwest",43
50734261.3185173,3,2,2,2,0,"Worse Off","Worse Off","Retirement account",37,30,"Other","Northeast",35
50758012.531713,5,2,3,1,1,"Worse Off","Worse Off","Retirement account",52,40,"Leisure and hospitality","South",40
50779763.3313804,3,2,1,3,2,"Worse Off","Worse Off","Bonds",44,50,"Leisure and hospitality","West",51
51051569.9655779,6,2,4,6,1,"Worse Off","Worse Off","Retirement account",115,50,"Transportation and utilities","Midwest",33
50785023.0397273,4,2,2,2,3,"Worse Off","Worse Off","Retirement account",70,24,"Health services","Northeast",34
50889900.702868,5,3,3,0,1,"Worse Off","Worse Off","Savings account",57,35,"Wholesale and retail trade","South",29
50824067.0945398,3,1,2,0,1,"Worse Off","Better Off","Retirement account",36,31,"Education","West",35
50790813.2197775,5,3,2,0,-1,"Worse Off","Better Off","Mutual funds",29,33,"Financial services","Midwest",37
50744011.1793731,2,1,2,1,2,"Worse Off","Worse Off","Stocks",58,38,"Public administration","Northeast",39
50800316.2577444,5,3,2,0,3,"Worse Off","Worse Off","Retirement account",46,45,"Other","South",35
50827414.4107976,3,1,2,2,1,"Better Off","Worse Off","Bonds",41,31,"Professional and business services","West",37
50909457.5005495,6,3,3,0,0,"Worse Off","Worse Off","Savings account",47,41,"Wholesale and retail trade","Midwest",40
50876548.2332378,4,3,1,2,2,"Worse Off","Better Off","Bonds",24,61,"Public administration","Northeast",31
50958134.604212,3,2,1,-1,1,"Worse Off","Worse Off","Savings account",52,36,"Transportation and utilities","South",39
50683727.7494249,2,1,2,-3,1,"Better Off","Worse Off","Savings account",46,42,"Leisure and hospitality","West",26
50843222.2754,4,2,2,-4,1,"Worse Off","Worse Off","Savings account",45,46,"Leisure and hospitality","Midwest",30
50791997.7936434,4,2,2,7,1,"Worse Off","Worse Off","Stocks",56,33,"Financial services","Northeast",36
50753612.6466975,4,2,2,2,1,"Worse Off","Worse Off","Mutual funds",83,43,"Construction","South",44
50942561.5705007,4,2,2,3,2,"Worse Off","Worse Off","Stocks",35,23,"Manufacturing","West",43
50868657.0904624,4,1,2,-3,0,"Better Off","Worse Off","Savings account",35,32,"Financial services","Midwest",39
50762191.3517324,2,1,1,3,1,"Worse Off","Worse Off","Retirement account",36,30,"Leisure and hospitality","Northeast",40
50922707.8087326,2,1,1,-3,1,"Better Off","Better Off","Savings account",50,45,"Other","South",38
50789581.0809474,3,2,1,0,1,"Worse Off","Worse Off","Savings account",49,34,"Health services","West",31
50815509.276955,3,2,1,-3,1,"Worse Off","Better Off","Bonds",38,31,"Professional and business services","Midwest",45
50672359.4992543,2,1,1,3,2,"Worse Off","Worse Off","Mutual funds",29,51,"Wholesale and retail trade","Northeast",33
50871780.6321384,5,3,2,2,0,"Worse Off","Worse Off","Bonds",31,25,"Wholesale and retail trade","South",39
50972981.5816902,5,3,2,2,1,"Worse Off","Worse Off","Savings account",29,24,"Wholesale and retail trade","West",38
50769317.7659404,5,2,2,3,1,"Worse Off","Better Off","Savings account",34,28,"Health services","Midwest",44
50747275.3543404,2,1,1,0,1,"Better Off","Better Off","Bonds",57,NA,"Transportation and utilities","Northeast",44
50847326.3731774,5,2,3,1,0,"Worse Off","Better Off","Mutual funds",55,37,"Leisure and hospitality","South",41
50880703.6118676,3,1,2,3,0,"Worse Off","Worse Off","Savings account",60,43,"Education","West",31
50913152.285175,2,1,1,0,0,"Worse Off","Worse Off","Savings account",35,55,"Wholesale and retail trade","Midwest",35
50754784.7673856,3,1,2,3,1,"Worse Off","Better Off","Retirement account",30,36,"Health services","Northeast",37
50824040.1185133,3,1,2,-1,1,"Better Off","Better Off","Retirement account",53,23,"Other","South",40
50977244.3192583,5,4,1,0,1,"Better Off","Worse Off","Retirement account",56,25,"Other","West",46
50608444.942381,3,1,2,5,1,"Worse Off","Worse Off","Bonds",61,32,"Other","Midwest",37
50731876.1395165,5,4,1,2,2,"Worse Off","Better Off","Mutual funds",47,51,"Financial services","Northeast",32
50780992.4921038,4,2,2,-1,2,"Worse Off","Worse Off","Mutual funds",42,46,"Health services","South",35
50753319.5013089,7,5,2,2,0,"Better Off","Worse Off","Stocks",75,28,"Wholesale and retail trade","West",39
50960193.8101673,2,1,1,0,0,"Better Off","Better Off","Bonds",54,46,"Professional and business services","Midwest",32
51011392.1080816,7,2,4,-1,2,"Worse Off","Worse Off","Retirement account",41,27,"Leisure and hospitality","Northeast",37
50748896.4230439,4,2,2,1,2,"Worse Off","Worse Off","Savings account",53,27,"Wholesale and retail trade","South",33
50767017.8138739,3,1,2,-2,2,"Better Off","Better Off","Savings account",41,39,"Transportation and utilities","West",36
50890751.1300309,4,2,2,2,0,"Worse Off","Worse Off","Bonds",46,41,"Leisure and hospitality","Midwest",34
50922211.919369,5,4,1,-1,1,"Worse Off","Better Off","Savings account",47,25,"Leisure and hospitality","Northeast",35
50823223.9269412,5,4,1,-1,0,"Better Off","Worse Off","Savings account",49,45,"Financial services","South",64
50837865.2426284,4,2,2,3,1,"Worse Off","Worse Off","Savings account",27,33,"Other","West",32
50753948.5214851,3,1,3,1,1,"Worse Off","Better Off","Savings account",57,35,"Other","Midwest",38
50817493.4144621,5,2,3,3,0,"Worse Off","Better Off","Stocks",42,33,"Leisure and hospitality","Northeast",36
50812787.5245831,4,3,1,2,0,"Worse Off","Worse Off","Retirement account",38,41,"Leisure and hospitality","South",38
50943764.3948053,6,3,3,2,-1,"Worse Off","Worse Off","Mutual funds",35,34,"Other","West",38
50792542.8796526,4,3,2,1,1,"Better Off","Worse Off","Retirement account",31,31,"Wholesale and retail trade","Midwest",31
50625177.4179593,5,2,3,-1,1,"Better Off","Worse Off","Mutual funds",56,42,"Professional and business services","Northeast",38
50887164.4418763,4,2,2,1,1,"Better Off","Better Off","Stocks",76,42,"Leisure and hospitality","South",38
50895629.2748412,3,1,2,4,2,"Worse Off","Worse Off","Savings account",50,24,"Leisure and hospitality","West",42
50950244.1892745,3,2,1,6,1,"Worse Off","Worse Off","Stocks",45,51,"Financial services","Midwest",32
50796759.9228633,2,1,2,1,2,"Better Off","Worse Off","Mutual funds",66,27,"Public administration","Northeast",43
50858132.1843686,3,2,1,4,1,"Worse Off","Worse Off","Mutual funds",58,23,"Public administration","South",36
50734581.7003927,2,1,2,-2,2,"Worse Off","Better Off","Retirement account",54,42,"Public administration","West",38
50855061.639896,4,1,3,-3,2,"Worse Off","Better Off","Mutual funds",40,23,"Professional and business services","Midwest",42
50783590.2353639,5,3,2,-3,2,"Worse Off","Better Off","Stocks",77,45,"Professional and business services","Northeast",46
50777644.5454948,3,1,2,3,0,"Worse Off","Worse Off","Retirement account",45,42,"Leisure and hospitality","South",35
50766465.155003,5,3,2,-2,1,"Worse Off","Worse Off","Savings account",50,44,"Other","West",37
50896742.9932121,5,4,2,0,2,"Worse Off","Worse Off","Bonds",39,45,"Wholesale and retail trade","Midwest",48
50839316.885423,3,2,1,-2,0,"Better Off","Worse Off","Savings account",36,36,"Leisure and hospitality","Northeast",36
50675339.9759125,3,2,1,-2,2,"Better Off","Better Off","Bonds",38,23,"Other","South",39
50737810.3439261,4,3,1,3,1,"Worse Off","Worse Off","Mutual funds",57,29,"Health services","West",42
50910745.8304935,4,3,1,1,1,"Worse Off","Better Off","Retirement account",38,57,"Transportation and utilities","Midwest",35
50929961.3849991,4,3,2,2,1,"Worse Off","Worse Off","Stocks",72,NA,"Leisure and hospitality","Northeast",38
50661057.6504481,4,3,2,-1,2,"Better Off","Worse Off","Savings account",65,27,"Public administration","South",58
50838548.4071405,7,5,2,-1,0,"Worse Off","Worse Off","Savings account",43,NA,"Leisure and hospitality","West",44
50729231.7953588,4,2,2,2,1,"Worse Off","Worse Off","Retirement account",54,34,"Other","Midwest",35
50886786.7262704,2,1,1,6,0,"Worse Off","Worse Off","Retirement account",45,NA,"Wholesale and retail trade","Northeast",36
50795001.3735192,6,4,2,-3,1,"Worse Off","Better Off","Savings account",49,NA,"Other","South",44
50866382.3479467,7,5,2,2,0,"Worse Off","Worse Off","Retirement account",37,63,"Education","West",33
50775006.6495927,4,2,2,4,3,"Worse Off","Worse Off","Savings account",49,30,"Construction","Midwest",37
50784434.9172261,5,4,1,3,2,"Worse Off","Worse Off","Savings account",45,36,"Education","Northeast",30
50682523.633517,3,2,1,4,2,"Better Off","Worse Off","Retirement account",35,39,"Public administration","South",38
50822972.3584256,5,4,2,1,1,"Worse Off","Worse Off","Retirement account",50,30,"Other","West",46
50875423.4330606,5,4,1,2,0,"Worse Off","Worse Off","Bonds",34,48,"Other","Midwest",45
50715416.3030305,3,2,1,5,1,"Worse Off","Worse Off","Savings account",32,32,"Health services","Northeast",33
50877251.0223031,2,1,2,-3,1,"Worse Off","Better Off","Retirement account",85,22,"Transportation and utilities","South",30
50993675.6004164,2,1,1,-2,1,"Better Off","Better Off","Mutual funds",31,NA,"Public administration","West",42
50851908.501546,4,2,2,6,2,"Worse Off","Worse Off","Bonds",47,34,"Public administration","Midwest",38
50698563.9988396,2,1,1,4,-1,"Worse Off","Worse Off","Mutual funds",52,NA,"Leisure and hospitality","Northeast",42
50972330.7078104,3,1,2,2,2,"Worse Off","Worse Off","Retirement account",58,34,"Wholesale and retail trade","South",39
